"학구ID",학구명,학구분류,시도코드,시군구코드,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,공간객체ID,데이터기준일자
Z000101046,대구가창초통학구역,0,27,710,7240000,대구광역시교육청,7281000,대구광역시달성교육지원청,2016-08-12,2016-08-12,530995,2021-03-25
Z000105794,칠서초이령분교장통학구역,0,48,730,9010000,경상남도교육청,9131000,경상남도함안교육지원청,2016-08-12,2016-08-12,531064,2021-03-25
Z000105649,용산초통학구역,0,48,240,9010000,경상남도교육청,9081000,경상남도사천교육지원청,2016-08-12,2016-08-12,531065,2021-03-25
Z000150485,오산초옥과초공동통학구역,1,46,720,8490000,전라남도교육청,8571000,전라남도곡성교육지원청,2016-08-12,2016-08-12,531066,2021-03-25
Z000105806,동포초통학구역,0,48,740,9010000,경상남도교육청,9141000,경상남도창녕교육지원청,2016-08-12,2016-08-12,531096,2021-03-25
Z000104410,구림초통학구역,0,45,770,8320000,전라북도교육청,8441000,전라북도순창교육지원청,2016-08-12,2016-08-12,531100,2021-03-25
Z000150466,임실초성수초임실기림초공동통학구역,1,45,750,8320000,전라북도교육청,8431000,전라북도임실교육지원청,2016-08-12,2017-02-13,531101,2021-03-25
Z000104412,동계초통학구역,0,45,770,8320000,전라북도교육청,8441000,전라북도순창교육지원청,2016-08-12,2016-08-12,531102,2021-03-25
Z000105574,대곡초통학구역,0,48,170,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2016-08-12,2016-08-12,531103,2021-03-25
Z000105526,웅동초통학구역,0,48,129,9010000,경상남도교육청,9022000,경상남도창원교육지원청,2016-08-12,2016-08-12,531104,2021-03-25
Z000105466,내동초통학구역,0,48,123,9010000,경상남도교육청,9022000,경상남도창원교육지원청,2016-08-12,2016-08-12,531105,2021-03-25
Z000105777,의령초통학구역,0,48,720,9010000,경상남도교육청,9121000,경상남도의령교육지원청,2016-08-12,2016-08-12,531106,2021-03-25
Z000104654,옥룡초통학구역,0,46,230,8490000,전라남도교육청,8551000,전라남도광양교육지원청,2016-08-12,2016-08-12,531180,2021-03-25
Z000104569,매안초통학구역,0,46,150,8490000,전라남도교육청,8521000,전라남도순천교육지원청,2016-08-12,2018-03-07,531181,2021-03-25
Z000104217,이리부송초통학구역,0,45,140,8320000,전라북도교육청,8351000,전라북도익산교육지원청,2016-08-12,2016-08-12,531182,2021-03-25
Z000104341,남관초통학구역,0,45,710,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2016-08-12,2016-08-12,531183,2021-03-25
Z000104376,진안초통학구역,0,45,720,8320000,전라북도교육청,8401000,전라북도진안교육지원청,2016-08-12,2016-08-12,531184,2021-03-25
Z000104303,금구초통학구역,0,45,210,8320000,전라북도교육청,8381000,전라북도김제교육지원청,2016-08-12,2016-08-12,531185,2021-03-25
Z000104308,김제북초통학구역,0,45,210,8320000,전라북도교육청,8381000,전라북도김제교육지원청,2016-08-12,2016-08-12,531186,2021-03-25
