,subwayNo,Line,subwayName,address_kor1,address_kor2,address_kor3,latitude,longitude
121,2511,5,방화,서울특별시 강서구 금낭화로 지하132 (방화동),서울특별시 강서구 금낭화로 지하132 ,서울특별시 강서구 방화역,37.57864,126.8132
122,2512,5,개화산,서울특별시 강서구 양천로 22(방화동),서울특별시 강서구 양천로 22,서울특별시 강서구 개화산역,37.5728758,126.8082601
123,2513,5,김포공항,서울특별시 강서구 하늘길 지하77 (방화동),서울특별시 강서구 하늘길 지하77 ,서울특별시 강서구 김포공항역,37.55900775,126.7942402657747
124,2514,5,송정,서울특별시 강서구 공항대로 지하33 (공항동),서울특별시 강서구 공항대로 지하33 ,서울특별시 강서구 송정역,37.56153,126.81044
125,2515,5,마곡,서울특별시 강서구 공항대로 지하163 (가양동),서울특별시 강서구 공항대로 지하163 ,서울특별시 강서구 마곡역,37.5596498,126.8252323
126,2516,5,발산,서울특별시 강서구 공항대로 지하267 (가양동),서울특별시 강서구 공항대로 지하267 ,서울특별시 강서구 발산역,37.558552,126.8388888
127,2517,5,우장산,서울특별시 강서구 강서로 지하262 (화곡동),서울특별시 강서구 강서로 지하262 ,서울특별시 강서구 우장산역,37.5488943,126.8363227
128,2518,5,화곡,서울특별시 강서구 화곡로 지하168 (화곡동),서울특별시 강서구 화곡로 지하168 ,서울특별시 강서구 화곡역,37.5429057,126.8389995
129,2519,5,까치산,서울특별시 강서구 강서로 지하54(화곡동),서울특별시 강서구 강서로 지하54,서울특별시 강서구 까치산역,37.5321119,126.8465265
130,2520,5,신정,서울특별시 양천구 오목로 지하179 (신정동),서울특별시 양천구 오목로 지하179 ,서울특별시 양천구 신정역,37.5250413,126.8559699
131,2521,5,목동,서울특별시 양천구 오목로 지하245 (목동),서울특별시 양천구 오목로 지하245 ,서울특별시 양천구 목동역,37.5259047,126.8654226
132,2522,5,오목교,서울특별시 양천구 오목로 지하342 (목동),서울특별시 양천구 오목로 지하342 ,서울특별시 양천구 오목교역,37.5244,126.87691
133,2523,5,양평,서울특별시 영등포구 양산로 지하21 (양평동2가),서울특별시 영등포구 양산로 지하21 ,서울특별시 영등포구 양평역,37.5256329,126.8861176
134,2524,5,영등포구청,서울특별시 영등포구 당산로 지하 121 (당산동3가),서울특별시 영등포구 당산로 지하 121 ,서울특별시 영등포구 영등포구청역,37.5253151,126.8965366
135,2525,5,영등포시장,서울특별시 영등포구 양산로 지하200 (영등포동5가),서울특별시 영등포구 양산로 지하200 ,서울특별시 영등포구 영등포시장역,37.5226934,126.9051415
136,2526,5,신길,서울특별시 영등포구 경인로114가길 지하9 (영등포동1가),서울특별시 영등포구 경인로114가길 지하9 ,서울특별시 영등포구 신길역,37.51708575,126.9172764844275
137,2527,5,여의도,서울특별시 영등포구 여의나루로 지하40 (여의도동),서울특별시 영등포구 여의나루로 지하40 ,서울특별시 영등포구 여의도역,37.5216685,126.9243018
138,2528,5,여의나루,서울특별시 영등포구 여의동로 지하343 (여의도동),서울특별시 영등포구 여의동로 지하343 ,서울특별시 영등포구 여의나루역,37.52737,126.93199
139,2529,5,마포,서울특별시 마포구 마포대로 지하33 (도화동),서울특별시 마포구 마포대로 지하33 ,서울특별시 마포구 마포역,37.54026,126.94675
140,2530,5,공덕,서울특별시 마포구 마포대로 지하100 (공덕동),서울특별시 마포구 마포대로 지하100 ,서울특별시 마포구 공덕역,37.54346,126.95139
141,2531,5,애오개,서울특별시 마포구 마포대로 지하210 (아현동),서울특별시 마포구 마포대로 지하210 ,서울특별시 마포구 애오개역,37.553428,126.9566976
142,2532,5,충정로,서울특별시 서대문구 충정로 28-1,서울특별시 서대문구 충정로 28-1,서울특별시 서대문구 충정로역,37.56155,126.9634
143,2533,5,서대문,서울특별시 종로구 통일로 지하126 (평동),서울특별시 종로구 통일로 지하126 ,서울특별시 종로구 서대문역,37.5657953,126.9666351
144,2534,5,광화문,서울특별시 종로구 세종대로 지하172 (세종로),서울특별시 종로구 세종대로 지하172 ,서울특별시 종로구 광화문역,37.5716162,126.9769026
145,2535,5,종로3가,서울특별시 종로구 종로 지하 129 (종로3가),서울특별시 종로구 종로 지하 129 ,서울특별시 종로구 종로3가역,37.5704309,126.9922249
146,2536,5,을지로4가,서울특별시 중구 을지로 지하 178 (을지로4가),서울특별시 중구 을지로 지하 178 ,서울특별시 중구 을지로4가역,37.55725255,126.99382100905797
147,2537,5,동대문역사문화공원,서울특별시 중구 을지로 지하 279 (을지로7가),서울특별시 중구 을지로 지하 279 ,서울특별시 중구 동대문역사문화공원역,37.5652615,127.0081233
148,2538,5,청구,서울특별시 중구 청구로 지하77 (신당동),서울특별시 중구 청구로 지하77 ,서울특별시 중구 청구역,37.55994,127.01461
149,2539,5,신금호,서울특별시 성동구 금호로 지하154 (금호동2가),서울특별시 성동구 금호로 지하154 ,서울특별시 성동구 신금호역,37.55558,127.02008
150,2540,5,행당,서울특별시 성동구 행당로 지하89 (행당동),서울특별시 성동구 행당로 지하89 ,서울특별시 성동구 행당역,37.55705,127.02872
151,2541,5,왕십리,서울특별시 성동구 왕십리로 지하300 (행당동),서울특별시 성동구 왕십리로 지하300 ,서울특별시 성동구 왕십리역,37.5611426,127.0354423
152,2542,5,마장,서울특별시 성동구 마장로 지하296 (마장동),서울특별시 성동구 마장로 지하296 ,서울특별시 성동구 마장역,37.56542,127.04173
153,2543,5,답십리,서울특별시 성동구 천호대로 지하300(용답동),서울특별시 성동구 천호대로 지하300,서울특별시 성동구 답십리역,37.5668136,127.0526992
154,2544,5,장한평,서울특별시 동대문구 천호대로 지하405 (장안동),서울특별시 동대문구 천호대로 지하405 ,서울특별시 동대문구 장한평역,37.56262,127.06514
155,2545,5,군자,서울특별시 광진구 천호대로 지하550,서울특별시 광진구 천호대로 지하550,서울특별시 광진구 군자역,37.5572448,127.0795575
156,2546,5,아차산,서울특별시 광진구 천호대로 지하657,서울특별시 광진구 천호대로 지하657,서울특별시 광진구 아차산역,37.5516981,127.0897955
157,2547,5,광나루,서울특별시 광진구 아차산로 지하571 (광장동),서울특별시 광진구 아차산로 지하571 ,서울특별시 광진구 광나루역,37.54508,127.10326
158,2548,5,천호,서울특별시 강동구 천호대로 지하997 (천호동),서울특별시 강동구 천호대로 지하997 ,서울특별시 강동구 천호역,37.53595,127.12271
159,2549,5,강동,서울특별시 강동구 천호대로 지하1097 (천호동),서울특별시 강동구 천호대로 지하1097 ,서울특별시 강동구 강동역,,
160,2550,5,길동,서울특별시 강동구 양재대로 지하1480 (길동),서울특별시 강동구 양재대로 지하1480 ,서울특별시 강동구 길동역,37.5376,127.14006
161,2551,5,굽은다리,서울특별시 강동구 양재대로 지하1572 (명일동),서울특별시 강동구 양재대로 지하1572 ,서울특별시 강동구 굽은다리역,37.5456375,127.1429622
162,2552,5,명일,서울특별시 강동구 양재대로 지하1632 (명일동),서울특별시 강동구 양재대로 지하1632 ,서울특별시 강동구 명일역,37.54977,127.14393
163,2553,5,고덕,서울특별시 강동구 고덕로 지하253 (고덕동),서울특별시 강동구 고덕로 지하253 ,서울특별시 강동구 고덕역,37.55498,127.15502
164,2554,5,상일동,서울특별시 강동구 고덕로 지하359 (상일동),서울특별시 강동구 고덕로 지하359 ,서울특별시 강동구 상일동역,,
165,2555,5,둔촌동,서울특별시 강동구 양재대로 지하1369 (둔촌동),서울특별시 강동구 양재대로 지하1369 ,서울특별시 강동구 둔촌동역,37.52757,127.13647
166,2556,5,올림픽공원,서울특별시 송파구 양재대로 지하1233,서울특별시 송파구 양재대로 지하1233,서울특별시 송파구 올림픽공원역,37.5165067,127.1308993
167,2557,5,방이,서울특별시 송파구 양재대로 지하1127 (방이동),서울특별시 송파구 양재대로 지하1127 ,서울특별시 송파구 방이역,37.5088199,127.1264659
168,2558,5,오금,서울특별시 송파구 오금로 지하 321 (오금동),서울특별시 송파구 오금로 지하 321 ,서울특별시 송파구 오금역,37.5019815,127.1281525
169,2559,5,개롱,서울특별시 송파구 오금로 지하402 (가락동),서울특별시 송파구 오금로 지하402 ,서울특별시 송파구 개롱역,37.4980749,127.1348432
170,2560,5,거여,서울특별시 송파구 오금로 지하499 (거여동),서울특별시 송파구 오금로 지하499 ,서울특별시 송파구 거여역,37.49413,127.14245
171,2561,5,마천,서울특별시 송파구 마천로57길 지하7 (마천동),서울특별시 송파구 마천로57길 지하7 ,서울특별시 송파구 마천역,37.4949531,127.1527241
172,2611,6,응암,서울특별시 은평구 증산로 지하477 (역촌동),서울특별시 은평구 증산로 지하477 ,서울특별시 은평구 응암역,37.59786,126.91558
173,2612,6,역촌,서울특별시 은평구 서오릉로 지하63 (녹번동),서울특별시 은평구 서오릉로 지하63 ,서울특별시 은평구 역촌역,37.60494,126.92191
